carriers,locs,lookup_loc_carriers
power,Botswana,"Botswana::demand_power::power,Botswana::ElectricTransmission400kV:SudAfrica::power,Botswana::OCGT::power,Botswana::DieselEngine::power,Botswana::ElectricTransmission132kV:Zimbabwe::power,Botswana::ElectricTransmission132kV:SudAfrica::power,Botswana::Coal::power,Botswana::ElectricTransmission400kV:Zimbabwe::power"
power,Moz-North-Center,"Moz-North-Center::DieselEngine::power,Moz-North-Center::OCGT::power,Moz-North-Center::ElectricTransmission533kV:SudAfrica::power,Moz-North-Center::hydroD::power,Moz-North-Center::demand_power::power,Moz-North-Center::ElectricTransmission400kV:Zimbabwe::power"
power,Moz-South,"Moz-South::hydro::power,Moz-South::ElectricTransmission275kV:SudAfrica::power,Moz-South::DieselEngine::power,Moz-South::GasEngine::power,Moz-South::OCGT::power,Moz-South::ElectricTransmission400kV:SudAfrica::power,Moz-South::demand_power::power"
power,Namibia,"Namibia::hydro::power,Namibia::demand_power::power,Namibia::DieselEngine::power,Namibia::ElectricTransmission400kV:SudAfrica::power,Namibia::ElectricTransmission275kV:SudAfrica::power,Namibia::Coal::power,Namibia::ElectricTransmission132kV:Zambia::power"
power,SudAfrica,"SudAfrica::ElectricTransmission275kV:Namibia::power,SudAfrica::Wind::power,SudAfrica::ElectricTransmission275kV:Moz-South::power,SudAfrica::Coal::power,SudAfrica::ElectricTransmission132kV:Botswana::power,SudAfrica::hydro::power,SudAfrica::PV::power,SudAfrica::ElectricTransmission400kV:Moz-South::power,SudAfrica::ElectricTransmission400kV:Namibia::power,SudAfrica::ElectricTransmission400kV:Botswana::power,SudAfrica::Nuclear::power,SudAfrica::ElectricTransmission533kV:Moz-North-Center::power,SudAfrica::OCGT::power,SudAfrica::demand_power::power"
power,Zambia,"Zambia::Coal::power,Zambia::hydro::power,Zambia::demand_power::power,Zambia::DieselEngine::power,Zambia::hydroA::power,Zambia::HFO::power,Zambia::ElectricTransmission132kV:Namibia::power,Zambia::hydroB::power,Zambia::ElectricTransmission330kV:Zimbabwe::power,Zambia::hydroC::power,Zambia::PV::power"
power,Zimbabwe,"Zimbabwe::Coal_old::power,Zimbabwe::ElectricTransmission132kV:Botswana::power,Zimbabwe::Biomass::power,Zimbabwe::ElectricTransmission330kV:Zambia::power,Zimbabwe::ElectricTransmission400kV:Botswana::power,Zimbabwe::demand_power::power,Zimbabwe::hydroC::power,Zimbabwe::ElectricTransmission400kV:Moz-North-Center::power,Zimbabwe::Coal::power"
waterA,Zambia,"Zambia::ConversionPlusA::waterA,Zambia::storageA::waterA,Zambia::supply_waterA::waterA,Zambia::spillageA::waterA"
waterB,Zambia,"Zambia::storageB::waterB,Zambia::ConversionPlusA::waterB,Zambia::spillageA::waterB,Zambia::spillageB::waterB,Zambia::ConversionPlusB::waterB,Zambia::supply_waterB::waterB"
waterC,Zambia,"Zambia::spillageC::waterC,Zambia::ConversionPlusC::waterC,Zambia::WaterCTransmission:Zimbabwe::waterC,Zambia::supply_waterC::waterC,Zambia::storageC::waterC"
waterC,Zimbabwe,"Zimbabwe::WaterCTransmission:Zambia::waterC,Zimbabwe::ConversionPlusC::waterC"
waterD,Moz-North-Center,"Moz-North-Center::supply_waterD::waterD,Moz-North-Center::WaterDTransmission:Zimbabwe::waterD,Moz-North-Center::spillageD::waterD,Moz-North-Center::storageD::waterD,Moz-North-Center::WaterDTransmission:Zambia::waterD,Moz-North-Center::hydroD::waterD"
waterD,Zambia,"Zambia::spillageB::waterD,Zambia::ConversionPlusB::waterD,Zambia::spillageC::waterD,Zambia::ConversionPlusC::waterD,Zambia::WaterDTransmission:Moz-North-Center::waterD"
waterD,Zimbabwe,"Zimbabwe::WaterDTransmission:Moz-North-Center::waterD,Zimbabwe::ConversionPlusC::waterD"
waterE,Moz-North-Center,Moz-North-Center::spillageD::waterE
water_to_hpA,Zambia,"Zambia::hydroA::water_to_hpA,Zambia::ConversionPlusA::water_to_hpA"
water_to_hpB,Zambia,"Zambia::hydroB::water_to_hpB,Zambia::ConversionPlusB::water_to_hpB"
water_to_hpC,Zambia,"Zambia::hydroC::water_to_hpC,Zambia::ConversionPlusC::water_to_hpC"
water_to_hpC,Zimbabwe,"Zimbabwe::hydroC::water_to_hpC,Zimbabwe::ConversionPlusC::water_to_hpC"
