techs,inheritance
ConversionPlusB,conversion_plus
ConversionPlusA,conversion_plus
storageA,storage
storageD,storage
WaterCTransmission,transmission
Nuclear,supply
supply_waterB,supply
hydro0,conversion
hydroA,conversion
hydro,supply
GasEngine,supply
Biomass,supply
hydroC,conversion
storageB,storage
Coal,supply
supply_waterC,supply
OCGT,supply
ConversionPlus0,conversion_plus
demand_waterC,demand
storageC,storage
supply_water0,supply
ElectricTransmission275kV,transmission
ElectricTransmission132kV,transmission
ElectricTransmission330kV,transmission
ConversionPlusC,conversion_plus
ElectricTransmission533kV,transmission
ElectricTransmission220kV,transmission
demand_power,demand
ElectricTransmission400kV,transmission
hydroD,conversion
Wind,supply_plus
HFO,supply
Coal_old,supply
WaterDTransmission,transmission
demand_waterB,demand
spillageB,conversion
supply_waterD,supply
spillageA,conversion
DieselEngine,supply
PV,supply_plus
spillageC,conversion
hydroB,conversion
spillageD,conversion
demand_waterA,demand
supply_waterA,supply
